id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2X3J1zgsKEkTSYnjsUQlUZ,0.653,0.875,2,-5.815,0,0.0274,0.00976,1.03e-05,0.329,0.61,109.988,4
53E4QuExlZmvvm4dvnatem,0.683,0.47,11,-15.561,1,0.0494,0.0268,0.827,0.11,0.205,128.02,4
36PkUgkmr1hVGLY5VJIXJ5,0.615,0.829,4,-8.118,0,0.0413,0.181,0.00153,0.0849,0.607,118.004,4
6q2T5xXao6mTS6LLE88L84,0.747,0.571,9,-12.9,0,0.086,0.48,1.05e-06,0.242,0.965,91.838,4
4hvogg26QxhiwZejv9nNae,0.536,0.704,10,-7.612,1,0.0417,0.0932,0.0,0.227,0.702,103.134,4
0ljqsKHYQHnxGC6s5BAhlS,0.541,0.882,3,-3.929,0,0.219,0.158,0.0,0.079,0.423,142.867,4
2atQ64rRAZrZUx2Wt6A79s,0.567,0.631,0,-8.739,1,0.0451,0.216,2.49e-06,0.426,0.673,135.858,4
0Q2YGyMeeZMAvzebtxoQ5f,0.713,0.868,0,-6.644,0,0.0305,0.00206,9.23e-05,0.225,0.641,119.98,4
6peVCJCHKSJBMggL6ndtbB,0.59,0.608,1,-9.083,1,0.0266,0.207,0.733,0.211,0.536,129.393,4
2YIOkqKgg3jZEFoL5qcEPT,0.167,0.921,6,-4.881,0,0.061,0.000141,0.0716,0.239,0.315,168.225,4
2rQVexxmI985m2iefLfhbm,0.553,0.828,9,-4.091,1,0.0609,0.11,0.0,0.2,0.902,152.638,4
5Gn7OpMOkQX7S53uujJUMJ,0.351,0.129,8,-18.496,0,0.0318,0.819,0.904,0.115,0.0379,107.649,4
6nFdjV1Ko66O111x74K2kn,0.577,0.464,7,-7.943,1,0.024,0.0979,1.3e-06,0.154,0.346,90.557,4
4pi7qRGw2DDKAJMGHGcZ2O,0.758,0.779,8,-4.405,1,0.038,0.000717,0.0,0.109,0.588,124.987,4
0lIoY4ZQsdn5QzhraM9o9u,0.466,0.763,11,-7.748,0,0.0391,0.0542,0.0,0.119,0.473,123.539,4
